Ano da pesquisa,População(pessoas),Grande Região,,
1872,721337,Sul,,
1890,1430715,Sul,,
1900,1796495,Sul,,
1920,3537167,Sul,,
1940,5735305,Sul,,
1950,7840870,Sul,,
1960,11892107,Sul,,
1970,16683551,Sul,,
1980,19380126,Sul,,
1991,22117026,Sul,,
2000,25110348,Sul,,
2010,27386891,Sul,,
2022,29937706,Sul,,
