Ano da pesquisa,População(pessoas),Grande Região,,
1872,332847,Norte,,
1890,476370,Norte,,
1900,695112,Norte,,
1920,1439052,Norte,,
1940,1627608,Norte,,
1950,2048696,Norte,,
1960,2930005,Norte,,
1970,4188313,Norte,,
1980,6767249,Norte,,
1991,10257266,Norte,,
2000,12911170,Norte,,
2010,15864454,Norte,,
2022,17355778,Norte,,
