Ano da pesquisa,População(pessoas),Grande Região,,
1872,4016922,Sudeste,,
1890,6104384,Sudeste,,
1900,7824011,Sudeste,,
1920,13654934,Sudeste,,
1940,18345831,Sudeste,,
1950,22548494,Sudeste,,
1960,31062978,Sudeste,,
1970,40331969,Sudeste,,
1980,52580527,Sudeste,,
1991,62660700,Sudeste,,
2000,72430193,Sudeste,,
2010,80364410,Sudeste,,
2022,84840113,Sudeste,,
