Ano da pesquisa,População(pessoas),Grande Região,,
1872,220812,Centro-Oeste,,
1890,320399,Centro-Oeste,,
1900,373309,Centro-Oeste,,
1920,758531,Centro-Oeste,,
1940,1093491,Centro-Oeste,,
1950,1532924,Centro-Oeste,,
1960,2678380,Centro-Oeste,,
1970,4629640,Centro-Oeste,,
1980,7003515,Centro-Oeste,,
1991,9412242,Centro-Oeste,,
2000,11638658,Centro-Oeste,,
2010,14058094,Centro-Oeste,,
2022,16289538,Centro-Oeste,,
